Airport_Code,Timezone,Ocorrencias,Airport_Name
KEMT,US/Pacific,863,San Gabriel Valley Airport
KEMV,US/Eastern,20,Emporia Greensville Regional Airport
KENL,US/Central,2,Centralia Municipal Airport
KENV,US/Mountain,4,Wendover Airport
KENW,US/Central,76,Kenosha Regional Airport
KEOE,US/Eastern,78,Newberry County Airport
KEOK,US/Central,2,Keokuk Municipal Airport
KEPH,US/Pacific,4,Ephrata Municipal Airport
KEPZ,US/Mountain,2,
KEQY,US/Eastern,318,Charlotte-Monroe Executive Airport
KERI,US/Eastern,32,Erie International Tom Ridge Field
KERY,US/Eastern,7,Luce County Airport
KESN,US/Eastern,18,Easton Airport / Newnam Field
KETB,US/Central,33,West Bend Municipal Airport
KETC,US/Eastern,6,Tarboro Edgecombe Airport
KEUF,US/Central,3,Weedon Field
KEUG,US/Pacific,295,Mahlon Sweet Field
KEUL,US/Mountain,8,Caldwell Executive Airport
KEVB,US/Eastern,17,New Smyrna Beach Municipal Airport
KEVM,US/Central,25,Eveleth–Virginia Municipal Airport
KEVV,US/Central,10,Evansville Regional Airport
KEVW,US/Mountain,8,Evanston-Uinta County Airport-Burns Field
KEWB,US/Eastern,22,New Bedford Regional Airport
KEWN,US/Eastern,6,Coastal Carolina Regional Airport
KEWR,US/Eastern,678,Newark Liberty International Airport
KEXX,US/Eastern,19,Davidson County Executive Airport
KEYE,US/Eastern,447,Eagle Creek Airpark
KEYF,US/Eastern,4,Curtis L Brown Jr Field
KEZF,US/Eastern,162,Shannon Airport
KEZM,US/Eastern,9,Heart of Georgia Regional Airport
KEZS,US/Central,2,Shawano Municipal Airport
KF46,US/Central,34,Rockwall Municipal Airport
KF70,US/Pacific,229,French Valley Airport
KFAF,US/Eastern,17,Felker Army Air Field
KFAM,US/Central,2,Farmington Regional Airport
KFAR,US/Central,24,Hector International Airport
KFAT,US/Pacific,490,Fresno Yosemite International Airport
KFAY,US/Eastern,26,Fayetteville Regional Airport - Grannis Field
KFBG,US/Eastern,11,Simmons Army Air Field
KFBL,US/Central,35,Faribault Municipal Airport-Liz Wall Strohfus Field
KFBR,US/Mountain,3,Fort Bridger Airport
KFCI,US/Eastern,387,Richmond Executive-Chesterfield County Airport
KFCM,US/Central,470,Flying Cloud Airport
KFCS,US/Mountain,31,Butts AAF (Fort Carson) Air Field
KFDK,US/Eastern,253,Frederick Municipal Airport
KFDW,US/Eastern,150,Fairfield County Airport
KFDY,US/Eastern,21,Findlay Airport
KFEP,US/Central,2,Albertus Airport
KFET,US/Central,7,Fremont Municipal Airport
KFEW,US/Mountain,17,Francis E Warren Air Force Base
